id,Description,Sentiment,
190,"After a delay of two weeks of receiving the phone, and after getting it set up at my Verizon store, the battery lasted one month! My Apple store told me it would take 5 days to get a new battery for the phone. I was so exasperated that I would be without a phone for that long I traded it in and bought the 12pro. Never again will I buy a refurbished phone! This really cost me.",Negative,
191,"I was testing the waters to see if I wanted to switch to apple from Android. Phone came in with a few scratches on the body and the battery was at 87%, so it was in pretty good condition. Only returned it because iOS isn't my thing. Comes with a SIM tool and a 10W generic charger. I think the phone is supposed to come with 18W, but it's a good backup charger.",Positive,
192,"The phone I purchased worked very well! The shop was also very accommodating and helpful. If it wasn�t for me going back to Android, I would�ve kept the phone.

I unfortunately was trying iPhone after being with android for 4 years, and I couldn�t do it. It was nice to be able to test the phone with the return guarantee. Also, not sure how they�re replacing batteries, but the battery life was so healthy on the phone. Great work!",Positive,
193,The Best Phone I�ve Ever Owned & I�m Very Satisfied With The Day & Night Quality,Positive,
194,It didn't work out of the box. The number 8 wouldn't work and the downloading of software from the old phone had to be restarted 3 times. Returned it. Bought a 10 refurbished from iPhone. The return was easy so they do stand behind their product and the refund was prompt.,Negative,
195,I gave this a 5/5 because the phone came in perfect shape not even a scratch on it the battery has 100% of it life and came delivered nicely.,Positive,
196,No issues with the phone. It did get here a little late but that was fault of the shipping company,Positive,
197,"Ordered the 11 because I needed a new phone and without a doubt this was the best price for one.
Shipped pretty fast and when it arrived it didn�t come in normal Apple packaging which I expected.
Phone works perfectly but main complaint I had was the battery life wasn�t at 100, not too big of a deal, another complaint was there was a screen protector put on but it was pretty poorly installed doesn�t really effect anything just a little annoying.
Personally I would recommend you to buy this as the phone came in amazing basically new condition and with the price I really can�t complain.",Positive,
198,The product works great and everything but I checked the battery health on the iPhone and it was at 65% battery health. For a iPhone that is supposed to be refurbished they didn't replace the battery. Which means I have to spend more money to get the battery replaced. Not happy that they didn't replace the battery.,Neutral,
199,Love the phone. It did not have a mark or flaw on it. Buy with confidence. Saved a lot of money. My only issue is that it�s not holding a charge. I upgraded from a 6 to an 11. Not one issue switching the phone from one to another. I have Straighttalk service. I am in heaven. Not missing the home button either!,Positive,
200,"Phone was in nice shape except for a few very light scratches on the screen. This is a known issue with the iPhone 11 so I was not surprised. The scratches are insignificant and can't be seen when the phone is being used. They are only visible when the screen is black. Shipping and communication were very good.
Not an iPhone fan bought this for my wife and she likes it.",Positive,
201,DO NOT BUY FROM THIS SELLER. Purchased a refurbished iPhone 11 and it never connected to cell service correctly until eventually it stopped working altogether. I got a new SIM card and still nothing. Went to apple store and they ran diagnostics on it and found that the phone was faulty. Had to spend $500 to replace the phone. This seller is fraudulent. Do not trust that they will sell you a working product. Buyer beware,Negative,
202,"El producto est� en perfectas condiciones, la vida �til de la bater�a lleg� con un 93%, lleg� en una caja gen�rica pero muy bien empacando.

Llevo us�ndolo casi 2 semanas pero el problema es el siguiente: Me sale un aviso que dice: �Puede que los mensajes de texto necesarios para activar iMessage/FaceTime/iCloud sean de pago� y realmente es muy molesto.

Por favor ay�denme con el error o me ver� obligada a solicitar la devoluci�n del dinero, gracias.",Positive,
203,I love it. Ordered yesterday and it was delivered today which is one day earlier than it was suppose to come. Everything is in perfect condition and it worked with metro. I had 0 issues. Switched from iPhone 8 Plus. I was very hesitant on buying because of some of the reviews saying it wasn�t fully unlocked. but I�m glad I bought it.,Positive,
204,It worked and all but there was a few small scratches on it and I returned it. I had no problems with the return and luckily didn't have to pay to return the phone. Its a beautiful looking phone. I give it 3 stars because it is such a good phone and the return was easy and fair. I just hope they can be more diligent making sure there are no scratches on a phone before they send it.,Neutral,
205,Overall I�m very pleased with my newest purchase from this seller! I upgraded my phone from a 6s to this Unlocked 11. It made a world of difference (clearly lol). Setup and Transfer of my data/photos from my old phone to this one was painless. For those that are using Metro PCS by T Mobile or a similar carrier save yourself some time and frustration and call customer service or login in to your personal account and ACTIVATE your unlocked device to your current account. Will definitely purchase from this seller again.,Positive,
206,"Although it�s a renew phone according what the headline says in the marketplace, I can say it�s a new phone. Beautiful and perfect presentation. This seller has a good service and a fast shipping option, I got my iPhone on time and hope the next one I buy would be under the same conditions both the phone and the shipping",Positive,
207,"This product seems to work fine in the US. Someone told me my phone comes up from Mexico whenI called. Not sure but I think that is the phone because I am using the same service that I have for years. I wish apple had left finger reader on iphone11. The battery life is better then iphone7.
Over all I am happy with this item.",Positive,
208,"I know this is a second hand product but honestly I expected a device without visible scratches held at an arm�s length, as the description says. When I received the phone I immediately saw there was a lot of really noticeable scratches around the bumper. It came with a screen protector which is good, but I removed it to check the screen condition and I also found some scratches, fortunately that's a good way to hide them.
So far the phone is 100% functional I haven't had any trouble, it's fully unlocked as advertised and it came with the battery life at 100% which is perfect!

I bought this phone from BuySPRY and I'm giving this review just 3 stars due to the noticeable scratches. Just for reference I had the opportunity to buy another refurbished iPhone from Chubbiestech in the past and they sent me a mint condition device, unfortunately this seller wasn't available when I bought the iPhone 11 but it is now. Maybe you'll have to pay a little bit more but it's definitely worth it!",Neutral,
209,"I received this item today. I didn't receive retail packaging and I received an off brand charging brick and cord, I great but I could live with it. Went through all the trouble of activating the phone on my service to find out this phone gets hot. I was making my mimoji and the phone started to heat up. This phone had on been on for 15 minutes. I had to send it back.",Negative,
210,Good,Positive,
211,"very visible scratch on screen at top right corner, seller described this junk as like new condition. I thought I am saving $80 dollars by getting a nice like new product but was very disappointed. Packaging was done by a 3-4 years old for sure. whoever think this junk is in new condition need to have their eyes checked. Total waste of time.",Negative,
212,"So far no complaints. However, there's much to learn and no manual included or available from Apple (which I find reprehensible). So, being an iPhone 'newbie' I had to buy a written manual. All I can say is, to use this thing properly , it will require A LOT of further study. It's amazing all the things this phone can do!",Positive,
213,"So far I'm pretty happy with the phone, I definitely prefer it over Android phones. I don't have to use fingerprint reader so that's why the low review on that. Only drawback I can't use my own ringtone/text message tones. My boyfriend tried to and he said it was difficult. I had to read up a little bit on how to use the phone.",Positive,
214,"When arrived, battery life was already at 80%. My husband has had this same phone for two years and he�s still in the 90�s. After researching, I was able to get the same phone for very close to the same price at the Apple store near me and it was brand new. The refund process was fairly easy though.",Negative,
215,"This product claimed that the phone was like new, and it was not at all as advertised. The phone had a very noticeable scratch on the back, which is annoying, but what really got to me is that the camera doesn't work. Whenever I open the camera to use it, the camera keeps attempting (and failing) to adjust. It vibrates the phone profusely and makes it so that I can only use the front facing camera on this phone. Absolutely not worth the price.",Negative,
216,"I got the phone as a gift for my cousin who loves it. Out of the box she was able to get it to work with Metro PCS without issues. Talk, text, internet, she has had no issues. The battery lasts over 3 days without having to recharge (she is a lighter user.) Amazing value for an amazing unit.",Positive,
217,"Value for money
-I love this phone with all my heart even though I just got it like 4 days ago it�s amazing I haven�t had trouble with it AT ALL,it was fully unlocked so the only thing I had to do was transfer my SIM card from my old phone to this phone .There is a minor problem on the front camera when taking pics and vids there�s like a faded red light while take pics ,but nobody really can see it tbh",Positive,
218,"After a month or so the phone is horrible. Turns off all the time randomly. Amazon customer support has been useless as they tell me I have to take the phone to the apple store. I just want to send it back and go to my phone carrier and pay the extra for a phone that ACTUALLY works. I bought two of these and the other one is the exact same issues.

Update: took both phones to apple and they�re both listed as MFG date for the year 1978. Apple said these phones were supposed to be sent back to apple for repairs and never made it and was �re-sold� to me. Returning them as we speak to hopefully get a return",Negative,
219,Ordered a refurbished Iphone 11. It came in excellent condition. Not a scratch on it. It's like new. Everything works great. The seller provided a top quality phone. I'm very pleased and it came in 2 days.,Positive,
220,"Not gonna lie; I was sooooo skeptical about ordering a renewed phone... it took me maybe 4 or 5 days of reading EVERY review, checking ALL ratings and so on and then just basically said screw it we�ll cross that bridge when we get to it.
WELL, let�s just say... the phone was PERFECT!! Not a single scratch, crack, blemish.. like seriously looks like it�s brand new. EVERYTHING works BEAUTIFULLY on this phone including the camera and I am VERY VERY impressed. The ONLY issue I do have is the batter life... it takes FOREVER TO FREAKING CHARGE to where you see green but it�s something I willing to deal with considering I paid a good price and everything about this is damn near brand new",Positive,
221,"Straight out of the box, the phone did not work. The seller told me I just needed to updated the phone. Jumped through hoops trying to update and reset the phone with no success. According to Apple, the phone was over 1500 days out of warranty. Not sure how that is possible since the iPhone 11 was released less than 2 years ago. Do not buy from this seller. It's a scam!!",Negative,
222," Just bought this a few days ago. I really wanted to take car of it so I bought a waterproof case even before I got the phone. So here�s the thing the phone works like new but with just 1 big flaw. Every time someone calls me and I answer the call, the screen just shuts off and I wouldn�t be able to do anything to it for a couple of minutes.it can last for at least 30 minutes. So the trick is I have to be the one to make the call that�s the way to stop it. I guess I can tolerate this but hopefully no more issues comes up.",Neutral,
223,I bought this phone yesterday since I had broken my other phone and needed a new one fast. But since getting it hooked up and working yesterday (the same day I received it) the earpiece is scratchy and distorted to the point that you cant hear the person's words when they talk. Seller so far has not been easy to work with and this is not worth the money.,Negative,
224,"Phone works fine, light wear on the glass but still a great value compared to new. I activated it on AT&T loving it so far. It replaced my 6s so I was due to upgrade. Would recommend 10/10",Positive,
225,Llego pronto.en buenas condiciones,Positive,
226,"El celular vino como nuevo con 100% de bater�a, ya anteriormente hab�a comprado un IPhone XR para m�, este es para mi pareja y vino mucho mejor que el m�o, lo recomiendo completamente o simplemente tuve suerte con ambos, los celulares son desbloqueados ya que son usados en Panama donde vivo.",Positive,
227,"Phone is defective and I�ve contacted the seller several times and have not heard back. The phone won�t stay on and is stuck in a reboot loop. My other phone is broken, hence why I ordered this one and now I have to wait to receive a refund to order another since my phone call and support requests have gone unanswered. I don�t like leaving bad reviews but I�m extremely frustrated and this hasn�t been resolved.",Negative,
228,The iPhone 11 does not allowed to activate the SIM card. We went to our telephone provider and they told us that the SIM is block. I called our telephone provider and technician indicated that this phone is not allowing our SIM card to activate. I do not think this phone is fully unlock to use it. So I am going to return it to the seller and hope they need to fix this issue so that customers are not wasting their time and money.,Negative,
229,"Mine came with a glass screen protector attached, so I think I got a returned phone, but I didn�t mind. There were no scratches on the phone anywhere, so it was basically a free screen protector.

Otherwise, it�s a great phone and this refurbished model works like new.",Positive,
230,Product came in earlier than expected. These iPhones are good as new and I recommend these to anyone looking to purchase an iPhone. I bought 1 for myself and another for my girlfriend and they were both beautiful and in perfect condition. I was also pleased to see that both came with a screen protector installed. I am very satisfied with this product and I suggest this product to anybody looking to get a basically brand new iPhone for a better price.,Positive,
231,"I had been looking everywhere for an unlocked iPhone 11 but they were hard to find. The refurbished price was about $800, unless I wanted to risk eBay. This was such a great deal and the phone works perfectly. It came in 4 days, was packaged carefully, and no problems at all.",Positive,
232,"Cons: degraded batter life (not renewed or refurbished)
Pros: cosmetically perfect, in working condition, screen protector. The only factors saving it from a much harsher review.",Positive,
233,"Value for the money, it had a couple of scratches in the back but barely noticeable otherwise the phone runs good fully unlocked looks almost like new . The only complain I have about this phone is that the charger that comes with it, is not an Apple charger is just those cheap chargers you could buy at the dollar store. it does charge with it, but be ready to buy a new one soon after",Positive,
234,"Acceptable performance for the price. Heavy and clunky compared to the Pixel 3a I was using before this iPhone 11, plus the camera isn't any better than what I had with my $250 Pixel -- both shoot decent wide angle photos and video, decent processing capabilities, and both have crappy digital zoom functionality. Mostly got this for the better integration with hearing aids.",Positive,
235,"It�s not bad for a refurbished phone however, I would call this grade B refurbished. Most refurbished items I buy come from Walmart and I never have a problem. They always seem to be in perfect condition. It did come with a tempered glass which was a plus but when I went to put it on I immediately noticed lots of scratches on the screen. I�m assuming the screen was never replaced. The battery life is at 90% which means they don�t replace the batteries either. I�m a little disappointed with my experience because I�ve never had this happen before. I recommend if you are wanting something more �new� like because this is DEFINITELY in used condition.",Positive,
236,"Looked like a brand new phone, no marks, smudges or scratches to be found. Came with aftermarket USB charger and lightening cable. Was cleared to be freshly set up. I verified IMEI with Apple. And had no problem porting my phone number to it from ATT to T-mobile.",Positive,
237,"I couldn�t have made a wiser decision about this iPhone 11. First off, it�s almost $60 cheaper than a brand new one, which is practically a steal. Then, it arrives 3 days early, who doesn�t love that? Lastly, I have boost mobile as a phone provider, so purchasing the phone totally unlocked was the way to go, walking into the store and getting the phone activated with the plan I already have took about 10 minutes, all I needed was a SIM card to be put in, which is $10.
To anyone worrying about buying this and it being a bust, fear not! I am over the moon, elated about my purchase. Worth every penny.",Positive,
238,"This phone worked fine for about 3 months and then just as the warranty ended this phone started to have a lot of problems. I was only able to use the phone on speaker phone for a while so people could hear me. I have had a lot of issues with the speaker and this week the screen started to flash with lines across the phone. I contacted the seller this was a faulty product. It has 0 water damage, hasn't been dropped and has an otter box case. They said it is out of the warranty time period and can do nothing for me.",Negative,
239,"Worked as advertised. As a refurbished iPhone, you are always worried that it may not work as well as a new iPhone. I have been pleasantly surprised with the overall condition and performance of the device. The savings and the warranty were attractive enough for me to take the risk. Based on my experience so far, I would do it again.",Positive,
240,"Great phone, could not tell it was refurbished, came with a screen protector on it. The only bummer is that it did not come with ear pods but I noticed Apple is no longer giving those out either, so it's all good! It turned out to $40 cheaper than a new phone, and with some Amazon credits I had I would up getting a $600 phone for about $420, go refurb!",Positive,
241,Phone as described I definitely recommend this product no noticeable dents or scratches on the screen. Does show wear but only when closely inspected not just from looking at the phone. So far it�s good this is my first day using the device so if anything changes I�ll update my review.,Positive,
242,Screen is covered in tiny scratches. Looks like it was kept in someone�s pocket constantly with keys. I can tell the phone was taken apart at some point because there are pry marks on the side of it. For $530 I should have just spent the extra $130 to buy a brand new one.,Negative,
243,"I was hesitant to get a ""renewed"" phone, but it has worked just as well as advertised. I'm very happy with it and would renewed again.",Positive,
244,"Right off the bat I knew something wasn�t right, the speakers weren�t loud, camera wasn�t up to par and the screen had a light spot in it all compared to my girlfriends iPhone 11. Fast forward 4 months later shortly after the return window closed for the phone it stoped working. The cellular data is locked out making it unable to do anything until I �update it� even though we fixed and update to the latest iOS. We took it to both an AT&T store and an apple store where they then informed us that it�s not even a real iPhone 11. I would not recommend buying this and don�t see how this is not illegal in some form of way.",Negative,
245,"Great value, screen sometimes doesn�t want to operate like it freezes up sometimes and I have to close out of the app I was in or sometimes it�s slow a little but I can live with it. Everything is in perfect working order and screen is in great condition came with a screen protector. Awesome phone, wish the battery life was a little longer though, last maybe two-three hours using it. Checking my phone and going on every now and then last about ten hours, so not too bad.",Positive,
246,"The best phone for the BEST price, BuySpry really did it again. Second time buying from them and honestly they did not disappoint. Battery life is at 100% health, screen, body of the phone are completely unharmed as if I had just bought it straight from apple. Also, it even came with tempered glass already on the screen which is an added plus!! I'm so so happy I purchased my phone here.",Positive,
247,I wasn�t sure that I wanted to change phones but this iphone11 is a dream. I didn�t realize how good it would be and I am now an iPhone lover. The seller was super.,Positive,
248,"La verdad que al ser un telefono renovado pude recuperar toda la informacion de otro iphone lo que es genial aun no puedo hablar de la bateria lo estoy cargando, venia cin algunos raspones pero con una proteccion no se notaran, por el momento estoy feliz, dire algo mas cuando lo prube mas dias funciona muy bien en chile",Positive,
249,I love my new iphone! The video quality is so good and there are so many accessories that i can get to go with it. People can't believe i shoot all my IG content on this phone or how fast I produce the content. Between the audio accessories I bought and music features on garageband I shoot and edit right in Imovie which has green screen features now and export so quickly. I even shot a music video in my GARAGE that no one believed was actually my garage because Imovie did such a dope job with it's green screen. Highly recommend especially for this refurbished price.,Positive,
250,"It is not an Iphone
It is made in china also it is scratched",Negative,
251,"Phone came with screen seriously scratched. It says that they have minor blemishes that are ""not visible when held at arms length."" But that is BS as this phone had pretty serious scratches on the screen. Other blemishes would be fine, but not on the screen. Will be sending back for a replacement, since they already have my money and I know it will be a pain to get a refund.",Negative,
252,"This phone appears to work well, but I was quite disappointed by the appearance. The screen and phone case are very scratched up. If I didn't need a phone immediately I would have sent it back. REally expected a nicer looking phone.",Neutral,
253,So my phone has been working great since I bought it in May 2020. I take great care of it. I have a case on it. It hasn�t gotten wet or anything. I did the new update recently and it was fine at first but the cellular isn�t working. Apple said it was a hardware issue.,Negative,
254,"Bought this unlocked iPhone with skepticism after reading the reviews. The phone looks like brand new, no scratches. Bought a SIM card from my phone carrier and so far has met my expectations. I only charge it once a day which is great, compared to the other iPhones I had. Purple color is beautiful, looks more like lavender. Amazon customer tech support was very helpful and even connected me with Apple support to obtain help with the data transfer from my old phone. A great buy at a reasonable price!",Positive,
255,I was skeptical getting the phone but for the price it works perfectly it does everything an apple product is supposed to. Now it didn�t come in the original packaging which I didn�t mind. And the charging cable is long which I find a bonus. Overall I love it,Positive,
256," It�s a good phone but the reason why I give it 4 stars is because I had to unlocked the FaceTime and imessages ( from turning green ) on. If have any of those difficulties please contact apple right away and they�ll help you. You�ll thank me in the future.100 if you notice , the purple phone always tends to work better than the other colors phone by looking at these reviews.",Positive,
257,"Fast shipping works just like new no scratches or anything in particular so far so good,I recently bought (2) from different sellers and I had to send it back within days.,fingers cross I would recommend it to anyone who has problems like me in the past with others sellers this renewed are basically new ones",Positive,
258,"When I was looking for a new phone, I didn�t care that it was renewed. I�ve never had problems with renewed phones. So I came here first. I saw so many misleading things about these phones. But I made the purchase anyway. The phone came with 97% battery life, no scratches, no dents, and it was completely unlocked. Basically brand new. And I LOVE IT. I nervously waited for the package. And when i finally got it and everything was perfectly fine with it. I was amazed. So many people had said, so many misleading things. But truth is? IT AMAZING. GO FOR IT!",Positive,
259,"I purchased this phone as a gift for my dad. Right away I had trouble setting it up, When transferring all the data from his old iPhone it froze. A couple of days later the phone randomly shut off and wouldn't turn back on. The phone itself was fine physically.",Negative,
260,"I have yet to be disappointed with this phone!!! Yes... took me a minute to get used to the phone/screen size comparing an iPhone 7 but hands down... Good job Apple and good job Amazon for a clean... refurbished product that works so flush 

The data transfer via Cloud was super fast and easy. Probably the best I�ve dealt with yet.

Screen resolution... keyboard tranquility... overall battery & performance?? Forget about it... because this device has it all !!!!",Positive,
261,"My iPhone 11 stopped working just after the 90 day �replacement/repair� window ended. For $700 I expect my phone to work longer than 90 days, if you feel the same I SUGGEST YOU SHOP ELSEWHERE! PS- I did contact the seller and ask for help to which they offered NONE.",Negative,
262,"Purchased this phone for relative who was leaving the country and needed an unlocked phone while traveling overseas. It was shipped fast, arrived on time but was very disappointing to see very clear signs of wear and tear. The phone had scratches everywhere, which you would expect since it wasn�t new but a huge scratch on the top right side of the screen was shocking. The phone actually looked like it had been abused. I wanted to return it but couldn�t because the person whom it was for had to leave the country the next day.",Negative,
263,phone was great com card would fit in com card tray had to return so far have not received A refund Will not re-order until I receive a refund the phone itself looked great but was of no value if you cannot use it as a telephone patiently waiting for a refund,Neutral,
264,"I ordered an iphone 11 and the day I activated it, I could barely hear notifications, rings, people on the phone, and it kept freezing on screens. I was trying to contact Buyspry, Marketplace, and any combination of those to get help for a return/refund of over $600, followed all instruction on the booklet provided, and there were always pieces of information missing in order to complete the return. I'm still waiting for the return label they said was provided in a recent message but have no idea where it's provided as they stated. They won't reply to the phone number given and are stalling until the return date is too late. Stay away from buyspry!",Negative,
265,"I can not coment on the actual performance, except to say that If you are an Apple user this is a good choice. My friend did not like the xr. This one has huge storage capacity, retina display, and there are plenty of accessory items available.",Positive,
266,"As always, I was a bit skeptical about ordering a $800 phone off amazon but I�m so glad I did. It even came with a screen protector and it came brand new, only a tiny scratch on the screen protector but other then that the phone was spotless. So happy with what I got and happy it saved me a couple $100. The phone also came unlocked and had no trouble switching it over to my network. 10/10!",Positive,
267,I was realllllyyyy scared to purchase a phone off of Amazon at first. I had it in my cart for days but I�m glad I decided to go ahead and purchase this. I�ve been having the phone for over 6 months and have had 0 problems. I was able to activate it with my phone provider with no issues as well. No regrets at all.,Positive,
268,"Super skeptical after the 1 star reviews, but hey 90 Amazon money back I figure what the heck. Great product basically new batter capacity is 100% no problems with the phone. I got a t mobile specific phone swapped the sim and off I went. Nice product",Positive,
269,"Phone arrived quickly, it looked brand new. It even had a screen protector and AppleCare for the next 6 months which we didn�t know we were getting either. Also, the charger it came with looks to be a fast charger and it does charge the phone super fast. The only con is that the battery life is already at 86, but that is expected considering it�s refurbished. We were a little hesitant considering there wasn�t too many reviews, but so far we are extremely happy with the product. We will buy from seller again in the future.",Positive,
270,I went to the store to get this phone set up twice and both times they said it wasn�t fully unlocked.,Negative,
271,"I ordered this phone because I was due for a new one, and I needed more storage space. I came across this one and I thought it was a great deal but was nervous about it being renewed. I read all the reviews and the only doubts I had was when the battery life wasn�t at 100%, with the phone being renewed, it states very clearly that it wouldn�t come in the original Apple box or the Apple charger and cube. So when the reviews were bad about that, it was clear they didn�t read the complete description. I went ahead and purchased and was very pleased with it! The phone came with 100% battery life, the screen was perfect, and I was overall very pleased! I highly recommend this phone and company!",Positive,
272,"You Might be skeptical of getting a renewed phone, but so far mine has had no noticeable issues or differences from a brand new one. Even physically, it was flawless; no scratches on the screen or dents or anythin. As far as I�m concerned, I basically got a new IPhone for 100 dollars off so I�m pretty happy with it.",Positive,
273,When i reviceved this phone it looked in great shape i turned it on and i put my SIM chip in it and i got to put my apple ID in it and i couldnt use the C or the F key and then a messeage popped up about the screen being messed up because when the previous owner replaced the screen it wasn't replaced the correct way i couldnt answer calls i couldnt turn my phone off i got a refund and am sending this phone back please stay away from this seller when we tried to contact them they didnt answer or reply!!!!!!!!! I DO NOT RECOMMEND THEM NOT ONE BIT. I paid 600 dollars for a phone that didnt work they got me thats for sure i hope they dont get anyone else!!! lesson learned thats for sure!,Negative,
274,I won hundred percent absolutely love my phone it came with a good battery no nicks no dings no scratches just a perfect phone camera is great have no issues with my phone delivery was smooth transfer was smooth absolutely would buy another phone from this company,Positive,
275," The phone It's fine, but I expected that it didn't have any scratches at least.
Ok, i understand that is renewed, although it is true that inside the iphone is fine, face id works, camera back and front ok, icloud free, outside the screen and the back are fine, however the corners have small scratches, sometimes one expects it to arrive well cared.
The battery also has 94% which is fine.
The product arrived early too which is great.
4 of 5 stars just for the scratches.",Positive,
276,"Do not buy.
There is a three month warranty which ended three days ago and now the phone stopped working.
It didn't last!
It's a dud!",Negative,
277,I dislike. I didn�t have an issue until it got stuck in a boot loop and apple tech couldn�t even fix it! 700$ wasted. Returning and getting a refund. Plus didn�t even come with a charger,Negative,
278,"Couldn't even make a phone call! When trying to return it I kept getting stalled. I finally decided to pay the return shipping. Customer service was crap, phone was crap and I will never purchase from this company again!",Negative,
279,"I rarely buy brand new Apple. I have always bought refurbished iPhones and they�ve all been great. This one from Amazon is no exception. It came in a generic box with a generic charger but the phone itself is great. Everything works well, looks beautiful. No scratches on the screen but a few on the back (as stated in the quality assurance). Cameras are great and so is every other feature. If you�re looking to buy a great refurbed iPhone for a good cost, this company does great!",Positive,
280,It was in very good condition but it is garbage it is garbage it will not sync with any of my Apple products I tried to buy AppleCare and I put in the number the serial number the The serial number and he wouldn�t even register at Apple so that makes me Bootleg phones they�re not real Apple phones if they won�t register at Apple then what are they bootleg I have reached out to them and they refused to reach back so I guess this get their intention Don�t buy,Negative,
281,"I sent it back, this was not the renewed quality I had expected.I�ve purchased a renewed product before and this in comparison was sloppy and looked liked I bought off of craigslist. It didn�t look trust worthy so I sent it back.",Negative,
282,"In good condition. No scratches, came with a screen protector.

The only problem is that it has turned off a couple of times when I least expect it after having it less than a month, it turns right back on, but it is a major inconvenience. I had to find a repair shop near me to fix it. Since I use my phone for work, I cannot be without one. I contacted the seller and was only refunded $20 (I kept the phone for my work)

I recommend that if you do get a used phone, to double-check everything before getting rid of your old one.",Neutral,
283,"I was apprehensive about purchasing a telephone online as I�m more of a tangible person. With that being said I did, however, order a refurbished phone from Amazon. This turned out to be one of the best purchases I�ve ever made. The phone arrived with not a scratch on it; looks brand new. After putting in my original Sim card from my 2013 phone, everything just started rolling and no problems were encountered. Highly recommend purchasing this phone!",Positive,
284,"I really liked the packaging that the phone came in. Everything was wrapped, and sealed neatly. I would honestly get as much gigabytes as possible so your phone has enough space, and storage. I wasn�t sure if I should buy this phone because it is amazon renewed, but they did a great job. Battery life was perfect, screen and all is functional. Make sure you have a SIM card for the phone. The value is kind of expensive but it�s worth it, also the phone is fully unlocked and that is very important!. Thank you!",Positive,
285,"If I didn�t know any differently I would have thought this was a brand new phone. Beautiful condition, completely full battery life.very happy with this purchase.",Positive,
286,"I�ve had for about a month now and no complaints! Works like new and arrived with no scratches, dents or problems!",Positive,
287,Mine just came in today and man am I disappointed im not even going to turn it on 4-6 massive scratches on the phone visible from more than arms length away also looks like someone intentionally scratched it how did this make it past review,Negative,
288,I�ve had this phone for 3months and it has started to glitch and freeze. Buy the warranty package. I purchased another phone with the warranty protection package and I forgot to add the warranty to this phone as well. :(((( the phone works well enough just a minor annoyance.,Neutral,
289,Wife loves this phone and me too. The only phone I like better is s20ultra. She got red and the finish is beautiful. Call quality stood out from previous phones as it is exceptionally loud n clear. Sounds like the people you're talking to are right in front of you,Positive,
290,"When I unboxed the iPhone the touch screen didn�t work. I drained the battery and charged it up and that got the touch screen working.
When I tried to use my newly purchased SIM card from Straight Talk it did not work!
The iPhone Is locked and will not except the SIM card!",Negative,
291,"IPhone is in excellent physical/visual condition. However, if I pay the price that is sooo close to the Apple cost then why do I have all these problems?!! Even if the purchase is a ""risk"" (because it's renewed/refurbished) Why take so long to respond to help resolve issues?!!! This is frustrating!!! I've contacted my carrier and the phone is indeed unlocked but something on the inside is not working properly. But can't get this resolved in a reasonable amount of time because this company doesn't respond in a reasonable amount of time!!!!!!!!!",Negative,
292,"Even though this was a refurbished phone it still looked like new. Works great and came with a 100% battery which was a biggie for us. Came with aftermarket accessories, but that's what the listing said it would have. We are happy with our purchase.",Positive,
293,Second time buying from this seller.Both times amazing!!! Thank you sooo much,Positive,
294,"I went from an IPhone6 to this phone. After the culture/adjustment shock, I am loving it. Ii received it promptly and it was even better than described",Positive,
295,"La verdad tenia miedo de comprarlo x amazon ya que no vivo en USA, pero la verdad vale la pena! buen�simo, lo he exprimido al m�ximo ( lo he usado continuamente en google meet, clases, etc.) y otras actividades que requieren bastante energ�a de un celular en todos los sentidos, y tanto en la bater�a c�mo en las funciones funciona a la perfecci�n! Tiene garant�a x 90 d�as en caso de que algo le pase, lo puede devolver! ENCANTADA, LO RECOMIENDO 100%",Positive,
296,"sin duda alguna ha sido una de las mejores compras que hecho Celular vino muy bien empaquetado tra�a un cargador y cubo para cargar muy bueno La condici�n de la bater�a es excelente yo cre� que iba ser menos por ser reacondicionado pero tiene un 95% de bater�a Y en la parte f�sica del tel�fono lo veo muy bien est�n muy bonitos tal vez tiene unos peque�os raspones y Rayones en la pantalla pero son casi nulos , Y si funcion� el desbloqueo de la banda as� que s�lo puedo decir que es la mejor compra que he hecho y que recomiendo mucho al comprador buyspring",Positive,
297,THIS PHONE IS LOCKED !!!!!! do not buy from this person i�m not satisfied,Negative,
298,"The phone came in great condition. The only dent or scratch was on the screen and it�s nail thin and very hard to even spot. The battery health is 81% which is definitely on the lower end, but the battery last a good amount of time before I have to recharge the phone. I would recommend others to purchase as well.",Positive,
299,I must say I�m quite impressed with this phone it looks brand new and works great very satisfied so far gonna keep using it of course and hopefully I won�t need to update this so far I�m quite impressed,Positive,
300,"Likes: Came with a screen protector
Minimal scratches
Everything in working order
Worked with my tmobile plan
Dislikes: 85% battery health
marked as new as well as renewed
Overall: 4.5 out of 5 but ill have to give it 4",Positive,
301,Love the color and the phone is almost like new. I ordered an XR before this and was not satisfied with its feature. Easy return and was able to purchase this one. Great quality. Great battery life. Great camera.,Positive,
302,"I ordered my phone on wednesday and it came on friday. i love it. i set it up checked all the important things like system speed, speakers, flashlight, front and back camera and i even airdropped a picture to see how fast it would download, it works perfectly fine for now, i�ll try to update if anything happens. it doesn�t have any cracks or scratches. i would definitely recommend. i read the reviews and i was kinda scared but it turned out just fine. and i�ll also try to update with results of battery life.",Positive,
303,So far so good! I needed to upgrade my phone for awhile and postponed. This was such a. Great deal on a refurbished phone. A 36 month contract with a phone carrier to get a similar phone would have cost me double.,Positive,
